cohort_name,modality,device,task,feature_set,model,seed,metric,ci_low,ci_high,n_bootstrap
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,sensitivity,0.5217391304347826,0.6536956870290203,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,specificity,0.5024596173673961,0.5976879152823921,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,accuracy,0.5234493192133132,0.6021558245083207,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,brier_score,0.23941027562108652,0.2507552385128282,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,ece,0.11902826232970183,0.19036613330202487,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,positive_prediction_rate,0.46142208774583965,0.535590015128593,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,auroc,0.510004086525062,0.6027936223646505,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,auprc,0.362904618972193,0.48246924090925886,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,balanced_accuracy,0.49267447159629313,0.5748707272014612,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,macro_f1,0.48769326687265535,0.5664115717769742,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,sensitivity,0.42034041576223075,0.5526315789473685,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,specificity,0.5333333333333333,0.6281903891803261,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,accuracy,0.5113464447806354,0.5869894099848714,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,brier_score,0.2417200880999009,0.2490429974123496,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,ece,0.11381491666009518,0.18061709904534232,1000
core3_same_cohort,face,,self_intro,modality,hist_gradient_boosting,20260707,positive_prediction_rate,0.4054084720121029,0.4795763993948563,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,auroc,0.5203329513581417,0.6130211795785372,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,auprc,0.3672212393017492,0.49214976107099756,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,balanced_accuracy,0.49848624635850486,0.5789325323338775,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,macro_f1,0.4822613402886389,0.557325099612894,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,sensitivity,0.5112034190377348,0.6428571428571429,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,specificity,0.453048222067833,0.5522736949789869,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,accuracy,0.4901285930408472,0.5658093797276853,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,brier_score,0.2416034577789341,0.2690689716900326,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,ece,0.12434412343131887,0.19497499116899886,1000
core3_same_cohort,face,,self_intro,modality,logistic_regression,20260707,positive_prediction_rate,0.4886157337367625,0.562821482602118,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,auroc,0.5026815566294526,0.5907427089816708,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,auprc,0.34379899433214145,0.46136084490297175,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,balanced_accuracy,0.4909853967592481,0.5710271449807104,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,macro_f1,0.4845218193429271,0.5612842524451706,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,sensitivity,0.43357979910714284,0.558172830652597,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,specificity,0.5240243544600939,0.6173828439746027,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,accuracy,0.5037443267776097,0.5809757942511347,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,brier_score,0.2417010888189723,0.24946106086071618,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,ece,0.10854829038568951,0.18026406831063876,1000
core3_same_cohort,face,,self_intro,modality_demographics,hist_gradient_boosting,20260707,positive_prediction_rate,0.4145234493192133,0.49016641452344933,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,auroc,0.5272353512535951,0.6155053874869688,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,auprc,0.36812154413514986,0.49109171974736965,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,balanced_accuracy,0.5051498397517132,0.5854704045378037,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,macro_f1,0.48450050435237424,0.5618359715381164,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,sensitivity,0.5213170946765128,0.6512633952663635,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,specificity,0.4547617666556182,0.5521344882946085,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,accuracy,0.49319213313161875,0.5718608169440242,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,brier_score,0.2407265771234804,0.26724984533630225,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,ece,0.12655757115084196,0.18915987718251126,1000
core3_same_cohort,face,,self_intro,modality_demographics,logistic_regression,20260707,positive_prediction_rate,0.49319213313161875,0.56732223903177,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,auroc,0.514536223269158,0.6015203703050197,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,auprc,0.33057383461164974,0.4335769961437889,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,balanced_accuracy,0.5255420531393824,0.569360399800445,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,macro_f1,0.36418723026949,0.43450013662824716,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,sensitivity,0.9021254884932696,0.9647598602698237,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,specificity,0.126382104673882,0.1940278494769732,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,accuracy,0.3903177004538578,0.46444780635400906,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,brier_score,0.24270124496535203,0.2492860146993751,1000
