cohort_name,modality,device,task,model,seed,model_a,model_b,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap
eeg_rest_native,eeg,,rest,hist_gradient_boosting,20260707,signal,qc,1022,-0.005071734579931264,-0.05700829635893269,0.04763317490286423,-0.00864806625134451,-0.05068144588672469,0.0376493983588436,2,5,1000
eeg_rest_native,eeg,,rest,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1022,0.05081075572878846,0.004758761799287221,0.0958443448248776,0.020977871239017842,-0.01485081287054743,0.05867334595750022,4,5,1000
eeg_rest_native,eeg,,rest,logistic_regression,20260707,signal,demographics,1022,-0.10612217169594229,-0.15149084124830398,-0.058543794127050165,-0.06504618303089427,-0.1090239630716495,-0.021516523635568923,1,5,1000
eeg_rest_native,eeg,,rest,logistic_regression,20260707,signal,qc,1022,-0.014007243515440249,-0.05962696707472156,0.03843207173081207,-0.010425967594782537,-0.05135884538458162,0.029873276904632876,2,5,1000
eeg_rest_native,eeg,,rest,logistic_regression,20260707,signal_qc_demographics,signal,1022,0.06458447442054005,0.036410254891430245,0.09100828054403302,0.03669025907475154,0.012706746785625772,0.06087446801699838,5,5,1000
eeg_rest_native,eeg,,rest,random_forest,20260707,signal,demographics,1022,-0.10030528063314936,-0.1537155560141585,-0.0519345160946389,-0.07491019796356863,-0.12319666863146313,-0.026614075083599576,0,5,1000
eeg_rest_native,eeg,,rest,random_forest,20260707,signal,qc,1022,-0.0034200771905689153,-0.05263662372843878,0.047816241611917186,-0.014897322532951562,-0.0511557472388139,0.026352918079786573,2,5,1000
eeg_rest_native,eeg,,rest,random_forest,20260707,signal_qc_demographics,signal,1022,0.029105684843389712,-0.0041264363858611345,0.05960464049888502,0.020172420968666505,-0.004106675482626138,0.04522682926068429,5,5,1000
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,hist_gradient_boosting,20260707,signal,demographics,999,-0.04686914219405525,-0.09797580438344253,0.0034344141922185117,-0.037057264113895594,-0.08448795526951028,0.01602029103701537,0,5,1000
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,logistic_regression,20260707,signal,demographics,999,-0.11546683923948942,-0.1629701403351658,-0.07106311432370609,-0.09198632382665739,-0.1373167031305261,-0.051959731595722744,0,5,1000
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,random_forest,20260707,signal,demographics,999,-0.04580023208069273,-0.09120571158078683,0.005697061147423204,-0.04440062852058413,-0.09011287475406547,0.002934143458217458,0,5,1000
face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_crop,demographics,3572,-0.03956667279695325,-0.06047914761597175,-0.020649224462408862,-0.016929489146623622,-0.0426006685319589,0.008250061059043492,0,5,1000
face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_crop,qc,3572,0.08582302060962732,0.058998655571363565,0.11100853013174193,0.06078508321241921,0.03593929512797564,0.08765573921250558,5,5,1000
face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_crop,metadata,3572,0.12777364560221166,0.10060821543245223,0.15487751946978823,0.1017095010665593,0.07793596738744378,0.12833601070421807,5,5,1000
face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_crop,background,3572,0.04090835271294835,0.016970318017927085,0.0637821264924158,0.041872819717621856,0.01597118775800322,0.0655617719857025,4,5,1000
face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_crop,full_frame,3572,0.033393128344466616,0.011386147426046966,0.05582940816919235,0.031197437121146754,0.006168729243522297,0.05532665479323783,4,5,1000
face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_crop,demographics,3572,-0.033546261909564445,-0.05247269561297929,-0.01335805043582818,-0.024419777585494074,-0.049340674746071844,0.002715016530455267,0,5,1000
face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_crop,qc,3572,0.09838330999869493,0.0730092514501091,0.12447210794517888,0.0804377677727432,0.05544722817597968,0.10628658875934635,5,5,1000
face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_crop,metadata,3572,0.13451059550788436,0.10665654460171403,0.16269259432915195,0.10016839218730833,0.07434030294296733,0.12808271398831578,5,5,1000
face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_crop,background,3572,0.03382768654856971,0.012807136200636355,0.05499063584771662,0.025885460842524355,0.0012962564993494296,0.05229490426474177,5,5,1000
face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_crop,full_frame,3572,-0.0032725347349936706,-0.019699487862913905,0.013060809785268395,0.0012215550160049604,-0.018373341266998883,0.022516839932821827,1,5,1000
face_task_native,face,,task,hist_gradient_boosting,20260707,face_crop,demographics,3567,-0.04061076254198026,-0.06315133790872088,-0.017422949422281446,-0.023166464862014124,-0.04906373441917765,0.0046810862621363735,0,5,1000
face_task_native,face,,task,hist_gradient_boosting,20260707,face_crop,qc,3567,0.08420857864376652,0.05825650671576658,0.11231452018199886,0.05706638580773821,0.03204202305565061,0.08273877286996961,5,5,1000
face_task_native,face,,task,hist_gradient_boosting,20260707,face_crop,metadata,3567,0.09024126273351751,0.061701321995697285,0.12003656422478173,0.07446310511433518,0.04922344194256494,0.10127316892584948,5,5,1000
face_task_native,face,,task,hist_gradient_boosting,20260707,face_crop,background,3567,0.03806517478252136,0.015051446839236536,0.0602607011401751,0.041228794476393826,0.019132691897096567,0.06201862232573866,5,5,1000
face_task_native,face,,task,hist_gradient_boosting,20260707,face_crop,full_frame,3567,0.027399889168653324,0.0032122244487063772,0.0500419402107692,0.013252871202146244,-0.014474016107541223,0.03793437628642172,5,5,1000
face_task_native,face,,task,logistic_regression,20260707,face_crop,demographics,3567,-0.027869062805669476,-0.0475459638402945,-0.00843391847429647,-0.014918760414710519,-0.04049440261043255,0.01167135477441966,0,5,1000
