cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,3,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.35,0.5412290033059641,834,188
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,4,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.55,0.5020979020979022,808,214
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.5589153188745765,799,223
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.5459190444591904,823,199
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.45,0.5314747908732872,824,198
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.45,0.5656288020179758,834,188
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.5175609756097561,808,214
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5482667325129977,799,223
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,1,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5445520902455209,823,199
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,2,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5526804023044625,824,198
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,3,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5577269745013982,834,188
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.55,0.5462254818352379,808,214
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.45,0.5324979080071882,799,223
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,1,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.4,0.5260119442601194,823,199
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,2,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.4,0.5494971194219314,824,198
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,3,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.35,0.5430571568708635,834,188
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,4,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.5,0.5011836943544261,808,214
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.5583357339808223,799,223
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.54128400796284,823,199
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.531784005468216,824,198
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.5648293829503979,834,188
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.5168105065666042,808,214
eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260707,0,0,"{""strategy"": ""prior""}",0.5,,1465,362
eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260707,0,1,"{""strategy"": ""prior""}",0.5,,1459,368
eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260707,0,2,"{""strategy"": ""prior""}",0.5,,1458,369
eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260707,0,3,"{""strategy"": ""prior""}",0.5,,1464,363
eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260707,0,4,"{""strategy"": ""prior""}",0.5,,1462,365
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,0,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5977268346240237,1465,362
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,1,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5833586321759113,1459,368
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,2,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.6020332324680151,1458,369
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,3,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5944827499328136,1464,363
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,4,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5949265143680862,1462,365
eeg_oddball_native,eeg,,oddball,demographics,random_forest,20260707,4,0,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.55,0.5784890542760401,1465,362
