cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,inner_cv,1,0.5,368,122,246,0.5995601759296281,0.45804701642465395,0.5509796081567373,0.5366093366093366,0.5409836065573771,0.5609756097560976,0.5543478260869565,0.24133846508415688,0.1567381446498218,0.47282608695652173
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,fixed_0_5,2,0.5,369,128,241,0.555433091286307,0.41288274124763835,0.5501004927385892,0.540781969353398,0.5234375,0.5767634854771784,0.5582655826558266,0.25506929292614994,0.1677717631899981,0.45799457994579945
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,inner_cv,2,0.5,369,128,241,0.555433091286307,0.41288274124763835,0.5501004927385892,0.540781969353398,0.5234375,0.5767634854771784,0.5582655826558266,0.25506929292614994,0.1677717631899981,0.45799457994579945
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,fixed_0_5,3,0.5,363,123,240,0.5805555555555556,0.4328931706448493,0.5416158536585366,0.5326923076923077,0.5040650406504065,0.5791666666666667,0.5537190082644629,0.24635263202061153,0.15308187565920298,0.4490358126721763
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,inner_cv,3,0.5,363,123,240,0.5805555555555556,0.4328931706448493,0.5416158536585366,0.5326923076923077,0.5040650406504065,0.5791666666666667,0.5537190082644629,0.24635263202061153,0.15308187565920298,0.4490358126721763
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,fixed_0_5,4,0.5,365,116,249,0.5571596731754604,0.34708879387280434,0.5210843373493976,0.5068187531422825,0.5,0.5421686746987951,0.5287671232876713,0.25302138690814147,0.16841249197987268,0.4712328767123288
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,inner_cv,4,0.45,365,116,249,0.5571596731754604,0.34708879387280434,0.5634088076443706,0.516834214567212,0.6810344827586207,0.4457831325301205,0.5205479452054794,0.25302138690814147,0.16841249197987268,0.5945205479452055
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,fixed_0_5,0,0.5,362,122,240,0.5488387978142077,0.35692477891639374,0.49224726775956285,0.47728455939412395,0.18032786885245902,0.8041666666666667,0.5939226519337016,0.2343096174088359,0.10694062107467124,0.19060773480662985
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,inner_cv,0,0.45,362,122,240,0.5488387978142077,0.35692477891639374,0.5372267759562841,0.5233048675671627,0.5327868852459017,0.5416666666666666,0.5386740331491713,0.2343096174088359,0.10694062107467124,0.48342541436464087
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,fixed_0_5,1,0.5,368,122,246,0.613621218179395,0.4079915301461122,0.5249566839930694,0.49515527950310556,0.13934426229508196,0.9105691056910569,0.654891304347826,0.2190155431180054,0.06338325025750612,0.10597826086956522
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,inner_cv,1,0.3,368,122,246,0.613621218179395,0.4079915301461122,0.552578968412635,0.4009828009828009,0.9344262295081968,0.17073170731707318,0.42391304347826086,0.2190155431180054,0.06338325025750612,0.8641304347826086
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,fixed_0_5,2,0.5,369,128,241,0.5262253630705395,0.3610088724817352,0.5018477697095436,0.47265168247369105,0.140625,0.8630705394190872,0.6124661246612466,0.2350318001442337,0.09374953873697223,0.13821138211382114
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,inner_cv,2,0.3,369,128,241,0.5262253630705395,0.3610088724817352,0.48691973547717843,0.36319818758220124,0.8203125,0.15352697095435686,0.38482384823848237,0.2350318001442337,0.09374953873697223,0.8373983739837398
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,fixed_0_5,3,0.5,363,123,240,0.5073848238482386,0.33732006359785205,0.4980691056910569,0.4755189255189255,0.15447154471544716,0.8416666666666667,0.6088154269972452,0.23671429323878304,0.08908208720083792,0.15702479338842976
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,inner_cv,3,0.35,363,123,240,0.5073848238482386,0.33732006359785205,0.5018800813008131,0.4433191618584877,0.6829268292682927,0.32083333333333336,0.44352617079889806,0.23671429323878304,0.08908208720083792,0.6804407713498623
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,fixed_0_5,4,0.5,365,116,249,0.558371416701288,0.36052828072745047,0.5064222406868855,0.47971491228070173,0.12931034482758622,0.8835341365461847,0.6438356164383562,0.22403106763161426,0.09019837541813577,0.12054794520547946
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,inner_cv,4,0.35,365,116,249,0.558371416701288,0.36052828072745047,0.5545977011494253,0.4737790592899621,0.7758620689655172,0.3333333333333333,0.473972602739726,0.22403106763161426,0.09019837541813577,0.7013698630136986
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,fixed_0_5,0,0.5,362,122,240,0.6309938524590165,0.43436595245026577,0.6339139344262295,0.6087406015037593,0.680327868852459,0.5875,0.6187845303867403,0.24183316097884935,0.1564688731752819,0.5027624309392266
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,inner_cv,0,0.45,362,122,240,0.6309938524590165,0.43436595245026577,0.5278346994535519,0.375802279911869,0.9098360655737705,0.14583333333333334,0.40331491712707185,0.24183316097884935,0.1564688731752819,0.8729281767955801
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,fixed_0_5,1,0.5,368,122,246,0.6059076369452219,0.41997899312767767,0.583933093429295,0.5546033392721559,0.6475409836065574,0.5203252032520326,0.5625,0.24291277127973318,0.1629150711792637,0.5353260869565217
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,inner_cv,1,0.45,368,122,246,0.6059076369452219,0.41997899312767767,0.5706384113021458,0.4603621128235822,0.8770491803278688,0.26422764227642276,0.4673913043478261,0.24291277127973318,0.1629150711792637,0.782608695652174
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,fixed_0_5,2,0.5,369,128,241,0.5537636151452283,0.39102657151587533,0.5477988848547718,0.5108983799705449,0.6640625,0.4315352697095436,0.5121951219512195,0.24830641833304512,0.14709888430671667,0.6016260162601627
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,inner_cv,2,0.45,369,128,241,0.5537636151452283,0.39102657151587533,0.49729317946058094,0.38031045751633985,0.8203125,0.17427385892116182,0.3983739837398374,0.24830641833304512,0.14709888430671667,0.8238482384823849
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,fixed_0_5,3,0.5,363,123,240,0.567039295392954,0.3823043885741412,0.5654979674796747,0.5456609112747118,0.5934959349593496,0.5375,0.5564738292011019,0.24532019018150217,0.15700731632069193,0.5068870523415978
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,inner_cv,3,0.5,363,123,240,0.567039295392954,0.3823043885741412,0.5654979674796747,0.5456609112747118,0.5934959349593496,0.5375,0.5564738292011019,0.24532019018150217,0.15700731632069193,0.5068870523415978
