L_id,A_id,status,reason,lead_in_sec,landmark_corr,lead_in_source,video_duration_sec,duration_mismatch,positive_start_sec,positive_end_sec,neutral_start_sec,neutral_end_sec,negative_start_sec,negative_end_sec
L1548,B14233,ok,,0.43025,0.8948520609098825,landmark,665.099349,,0.43025,95.4892500000011,105.50125000000355,193.2592499999979,203.27525000000117,329.4082500000028
L1549,B14235,ok,,0.768375,0.10778129048961448,cohort_median,646.399349,,0.768375,95.47837499999913,105.48737499999733,193.2313749999961,203.23437500000034,329.35737499999993
L1553,B14241,ok,,0.768375,0.27515912773591356,cohort_median,661.232683,,0.768375,95.83737500000315,105.83937500000356,193.601375000006,203.61337500000116,329.73637500000075
L1555,B14243,ok,,0.439625,0.7548074640060372,landmark,644.666016,,0.439625,95.11762499999989,105.1196250000003,193.19962500000204,203.20162500000245,329.60262500000044
L1558,B14249,ok,,0.38825,0.7408349981572315,landmark,621.899349,,0.38825,95.06624999999988,105.06724999999645,193.14824999999476,203.15024999999517,329.55224999999706
L1561,B14252,ok,,0.768375,0.1654849392330066,cohort_median,672.899349,,0.768375,96.0723750000001,106.07737500000111,193.84337500000072,203.84837499999992,329.98437500000034
L1566,B14287,ok,,0.768375,0.21504829726546174,cohort_median,740.032618,,0.768375,96.08537500000001,106.09437500000003,193.87737499999946,203.8893750000001,330.0253749999996
L1567,B14289,ok,,0.768375,0.23090970779441086,cohort_median,695.365951,,0.768375,95.8063749999932,105.81637499999523,193.57637499999726,203.5903750000001,329.7203749999975
L1581,B15019,ok,,0.54325,0.6929082545836306,landmark,734.665951,,0.54325,95.57025000000186,105.57624999999581,193.33125000000047,203.33424999999744,329.45924999999744
L1586,B15056,ok,,0.768375,0.13983636841912353,cohort_median,870.865821,,0.768375,96.05637499999956,106.06937499999948,193.82737499999928,203.8343749999998,329.9743749999992
L1589,B15061,ok,,0.768375,0.17370515705730735,cohort_median,673.266016,,0.768375,96.06337500000008,106.0683750000011,193.84437500000092,203.85237500000073,329.99137499999995
L1597,B15115,ok,,0.6705,0.6411893653621622,landmark,697.465951,,0.6705,95.34849999999989,105.3505000000003,193.4514999999954,203.45249999999925,329.85149999999686
L16,A02034,ok,,0.18575,0.7277520395557081,landmark,707.0,,0.18575,94.58775000000186,104.5997500000043,192.35875000000252,202.36875000000455,328.4807500000055
L1607,B15174,ok,,0.768375,0.5864077601324281,cohort_median,771.399219,,0.768375,95.44837499999302,105.45037499999343,193.531374999999,203.5333749999994,329.9333749999936
L1615,B16010,ok,,0.768375,0.4725887049487047,cohort_median,662.099349,,0.768375,95.68537500000129,105.69437499999948,193.50537500000098,203.51437499999918,329.6733749999988
L1634,B16041,ok,,0.768375,0.07366817153941588,cohort_median,679.166016,,0.768375,95.56737499999907,105.58237499999849,193.38137499999755,203.39637499999697,329.6013749999987
L1635,B16042,ok,,0.768375,0.23064927473016503,cohort_median,697.799284,,0.768375,95.5623750000017,105.56637500000251,193.35337499999912,203.35737499999993,329.52137500000424
L1636,B16043,ok,,0.768375,0.0738830639936091,cohort_median,712.065951,,0.768375,95.59937499999832,105.61337500000117,193.3993750000012,203.4023749999982,329.57037499999603
L1641,B16050,ok,,0.768375,0.1582326112449391,cohort_median,1043.765625,,0.768375,95.56637500000251,105.57937500000152,193.3753750000036,203.37737499999673,329.5273749999982
L1643,B16052,ok,,0.768375,0.48760236007873103,cohort_median,765.465886,,0.768375,95.58137500000193,105.5843749999989,193.37337499999592,203.3883750000026,329.5733750000003
L1659,B16074,ok,,0.768375,0.48121509352954933,cohort_median,661.299349,,0.768375,95.518375,105.52937499999861,193.31737499999906,203.32437500000412,329.4783749999991
L1660,B16076,ok,,0.768375,0.43573694228040954,cohort_median,635.266016,,0.768375,95.54537500000187,105.56037500000129,193.33037499999807,203.3313750000019,329.50137500000017
L1668,B16085,ok,,0.785875,0.7574242351303563,landmark,739.899284,,0.785875,95.63087500000117,105.64587500000059,193.42987500000024,203.43887500000025,329.5948750000011
L1675,B16095,ok,,0.768375,0.48027351505108856,cohort_median,669.499349,,0.768375,95.48337500000015,105.48737500000097,193.2763749999998,203.28137500000082,329.43337500000086
L1676,B16096,ok,,0.768375,0.07326998487179025,cohort_median,667.999349,,0.768375,95.55637500000047,105.56637500000251,193.34637500000133,203.35937500000034,329.5223750000008
L1689,B16110,ok,,0.786625,0.7544470157068444,landmark,882.2,,0.786625,95.21762499999686,105.22462500000192,192.9816249999997,202.98862499999748,329.0986249999981
L1692,B16114,ok,,0.840125,0.7399744909293342,landmark,690.565951,,0.840125,95.70412499999958,105.7131249999996,193.51412499999907,203.52212499999888,329.6721249999985
L1697,B16123,ok,,0.768375,0.08747267644119722,cohort_median,606.999414,,0.768375,95.62837499999877,105.643375,193.44437499999947,203.4563750000001,329.6053749999995
L1699,B16127,ok,,0.768375,0.07492773383228346,cohort_median,682.666016,,0.768375,95.75137500000018,105.75337500000059,193.5403749999972,203.55537499999662,329.73637500000075
L1702,B16131,ok,,0.795875,0.8284917795095013,landmark,681.932683,,0.795875,95.78487500000139,105.7978750000004,193.5908750000019,203.5958750000029,329.73487500000215
L1707,B16138,ok,,0.768375,0.20618795091668085,cohort_median,972.966667,,0.768375,95.19237499999907,105.19637499999989,192.96737500000052,202.98137500000337,329.10637500000337
L171,A02280,ok,,0.768375,0.4770693173609888,cohort_median,710.965951,,0.768375,95.65837500000306,105.66837500000146,193.4523750000011,203.46137500000293,329.61037500000054
L1712,B16145,ok,,0.768375,0.4590874717429863,cohort_median,843.932487,,0.768375,95.86737499999835,105.87137499999916,193.67337499999883,203.69037499999865,329.8473749999997
L1714,B16147,ok,,0.577125,0.6991063870008726,landmark,652.499349,,0.577125,95.48812500000005,105.50412499999968,193.29112499999994,203.30112500000016,329.47412499999996
L1715,B16151,ok,,0.768375,0.07528357420266193,cohort_median,684.832618,,0.768375,95.61737499999471,105.63337499999797,193.48737499999731,203.49137499999813,329.67737499999964
L1724,B16059,ok,,0.768375,0.47485311209814063,cohort_median,612.999414,,0.768375,95.63737500000242,105.65137500000164,193.44637499999988,203.4493750000005,329.62237499999935
L1725,C02001,ok,,0.768375,0.4638184098932289,cohort_median,773.965886,,0.768375,95.59837500000175,105.60537499999954,193.3993750000012,203.41037499999982,329.5633750000019
L1726,C02003,ok,,0.768375,0.47407480362365895,cohort_median,754.865886,,0.768375,95.54337500000146,105.55437500000006,193.34637500000133,203.35637500000337,329.515375000003
L1736,C02019,ok,,0.768375,0.48724507303017806,cohort_median,737.299284,,0.768375,95.60737499999995,105.61237499999733,193.39637499999697,203.4083749999994,329.5373750000002
L174,A02283,ok,,0.768375,0.23364138600497142,cohort_median,662.399349,,0.768375,95.58337500000233,105.58637500000295,193.37137500000279,203.38037500000098,329.52937500000223
L1748,C02032,ok,,0.768375,0.5786554920827773,cohort_median,1108.798894,,0.768375,95.68937500000028,105.70737500000031,193.5173749999998,203.5223750000008,329.6683749999996
L1776,C02067,ok,,0.768375,0.21409280110836132,cohort_median,684.332618,,0.768375,95.43537499999947,105.44037500000049,193.23937499999954,203.25237500000037,329.42737499999964
L1779,C02071,ok,,0.768375,0.40651468314888495,cohort_median,700.765951,,0.768375,95.78437499999963,105.79537500000005,193.5863750000002,203.60237499999982,329.74937499999976
L178,A02288,ok,,0.768375,0.12670679104801125,cohort_median,885.132422,,0.768375,95.49437499999512,105.49937499999977,193.2903749999972,203.294374999998,329.4573749999985
L1793,C02085,ok,,0.768375,0.4936197096944074,cohort_median,695.132618,,0.768375,95.54137500000105,105.5533750000035,193.33337500000232,203.3493749999983,329.5003750000036
L1794,C02086,ok,,0.768375,0.49293282648204517,cohort_median,640.499349,,0.768375,95.55237499999966,105.56837500000292,193.34637500000133,203.35237500000255,329.49937499999976
L1801,C02099,ok,,0.768375,0.07535502646863632,cohort_median,689.865951,,0.768375,95.55037499999925,105.55437500000006,193.34237500000052,203.3453749999975,329.5003749999963
L1802,C02101,ok,,0.768375,0.48211669197819074,cohort_median,840.399154,,0.768375,95.52437499999395,105.5273749999982,193.31337499999825,203.31937499999947,329.4743749999983
L1806,C02105,ok,,0.768375,0.48068476702607343,cohort_median,721.832618,,0.768375,95.54037500000449,105.55137500000309,193.3253750000007,203.33037499999807,329.4563750000019
L1809,C02109,ok,,0.768375,0.46432784159006474,cohort_median,663.432683,,0.768375,95.4693749999973,105.48237499999995,193.2713750000006,203.27337499999737,329.43837499999825
L1811,C02111,ok,,0.768375,0.08407771058478263,cohort_median,754.532552,,0.768375,95.5253749999978,105.53637500000004,193.35537499999953,203.36537499999793,329.5293749999986
L1817,C04013,ok,,0.768375,0.42702756948343457,cohort_median,746.899284,,0.768375,95.77737500000002,105.79237500000035,193.56837500000017,203.5833750000005,329.73737500000004
L1818,C04015,ok,,0.768375,0.1020939327180117,cohort_median,821.532487,,0.768375,95.57737500000111,105.59037500000012,193.37637500000017,203.39237499999615,329.557374999997
L1822,C04025,ok,,0.768375,0.07315986410259806,cohort_median,720.332618,,0.768375,95.54337500000146,105.54937500000268,193.3343749999989,203.3453749999975,329.5043750000044
L1833,C04065,ok,,0.768375,0.46082300321144304,cohort_median,642.499349,,0.768375,95.63037499999736,105.63937499999919,193.43737499999804,203.44737500000008,329.6013749999987
L184,A02295,ok,,0.768375,0.08353905865720257,cohort_median,675.942318,,0.768375,95.31837499999564,105.32237499999646,193.11237499999731,203.1213749999955,329.2923749999976
L1843,C04092,ok,,0.768375,0.12937515078641496,cohort_median,625.832683,,0.768375,95.5273749999982,105.5363749999964,193.32237499999644,203.33237499999848,329.5033750000006
L1845,C04096,ok,,0.768375,0.46818714174738657,cohort_median,703.599284,,0.768375,95.05437499999279,105.05737499999704,192.810374999994,202.8123749999944,328.92737499999964
L185,A02297,ok,,0.768375,0.49682379307405145,cohort_median,661.699349,,0.768375,95.54737499999864,105.55137499999945,193.3243750000005,203.3373749999995,329.48137499999973
L1856,C04113,ok,,0.768375,0.4929213493837572,cohort_median,739.065951,,0.768375,95.5993750000056,105.60537500000682,193.38737500000605,203.40337500000203,329.5713749999999
L1868,C04143,ok,,0.768375,0.23345709908968532,cohort_median,671.266016,,0.768375,96.08237499999849,106.09937499999832,193.85937500000034,203.87137499999915,330.00337499999694
L1872,C04151,ok,,0.768375,0.2727433988716305,cohort_median,654.566016,,0.768375,95.58537500000274,105.60137499999873,193.3883750000026,203.40337500000203,329.55037499999924
L188,A02300,ok,,0.768375,0.48270651595821434,cohort_median,776.765886,,0.768375,95.5633750000019,105.57637500000091,193.36037500000054,203.37737500000037,329.523375000001
L1886,C05002,ok,,0.768375,0.31963698091398285,cohort_median,834.799154,,0.768375,96.04037500000085,106.04537500000005,193.81537500000047,203.8253750000007,329.9583750000005
L1888,C05004,ok,,0.768375,0.16179953773105968,cohort_median,707.465951,,0.768375,96.11937499999966,106.13137499999938,193.902375,203.9033750000002,330.0423749999994
L1897,C06008,ok,,0.768375,0.07644490631919056,cohort_median,731.132618,,0.768375,95.90137500000164,105.90437499999861,193.7093749999989,203.72137500000133,329.8843750000018
L1899,C06011,ok,,0.768375,0.07316863734767574,cohort_median,690.365951,,0.768375,95.79137499999742,105.80137499999945,193.6113749999971,203.62337499999956,329.80937499999743
L190,A02302,ok,,0.768375,0.07149569653656201,cohort_median,670.932683,,0.768375,95.57737500000111,105.58037499999809,193.37037499999894,203.38237499999775,329.531374999999
L1905,C06017,ok,,0.768375,0.40706478996402345,cohort_median,810.699219,,0.768375,95.53937500000065,105.55037500000653,193.33437500000616,203.35037500000215,329.50837500000523
L1916,C07007,ok,,0.768375,0.10964547211139189,cohort_median,710.165951,,0.768375,96.05937500000108,106.0733750000003,193.84237500000052,203.85837500000014,329.98937499999954
L1924,C07018,ok,,0.768375,0.36841335207988757,cohort_median,733.465951,,0.768375,96.46237500000315,106.47737500000257,194.33237499999848,204.33937499999627,330.5863749999993
L1927,C07021,ok,,0.768375,0.1759314413903518,cohort_median,606.338667,,0.768375,96.03737500000024,106.04537500000005,193.82037499999967,203.8343750000007,329.9593749999989
L1934,C07042,ok,,1.037625,0.8523109836753684,landmark,794.133334,,1.037625,95.82662500000431,105.84162500000373,193.60862500000354,203.61362500000092,329.7236250000015
L1938,C07053,ok,,0.768375,0.4595782579298675,cohort_median,709.599284,,0.768375,96.21237500000042,106.21737499999962,193.97837500000003,203.98937500000045,330.11637500000086
L1946,C08008,ok,,0.768375,0.0987814232814901,cohort_median,679.199349,,0.768375,95.36537500000158,105.37537499999998,193.16637500000104,203.17537500000287,329.3353750000027
L1948,C08010,ok,,0.768375,0.4789745404120817,cohort_median,645.999349,,0.768375,95.33737499999587,105.35137499999873,193.14437499999656,203.15937499999598,329.2983749999988
L1950,C08012,ok,,0.768375,0.4556068198180799,cohort_median,689.533334,,0.768375,95.19237499999907,105.20237500000111,192.9563750000019,202.96737500000052,329.09137500000395
L1951,C08013,ok,,0.768375,0.09327518840052026,cohort_median,681.066016,,0.768375,95.33637499999931,105.34337500000073,193.13837499999897,203.1443750000002,329.2973749999986
L196,A02309,ok,,0.768375,0.14415190311811213,cohort_median,745.899284,,0.768375,95.61137499999712,105.62037499999896,193.4173749999976,203.43637499999784,329.5983749999981
L1968,C08031,ok,,0.768375,0.09564311979536282,cohort_median,626.466016,,0.768375,95.36737500000199,105.380375000001,193.16937500000165,203.18337500000086,329.3403750000001
L1978,C08044,ok,,0.768375,0.48212637856123897,cohort_median,648.399349,,0.768375,95.54637499999843,105.55237499999966,193.33937500000354,203.3473749999979,329.5233749999974
L1985,C08052,ok,,0.768375,0.09689065354832518,cohort_median,655.566016,,0.768375,95.41237500000024,105.42137500000207,193.22137500000133,203.23237499999993,329.3923749999998
L1997,C08066,ok,,0.768375,0.4801431827531288,cohort_median,710.265951,,0.768375,95.3233750000003,105.33537500000274,193.127375000004,203.1363750000022,329.2923750000049
L2002,C08073,ok,,0.768375,0.5672260427042018,cohort_median,646.733334,,0.768375,95.19637499999989,105.21137499999931,192.97137499999405,202.97737499999528,329.0993749999983
L2003,C08074,ok,,0.768375,0.4870521826768482,cohort_median,698.765951,,0.768375,95.5533750000035,105.5553750000039,193.3343749999989,203.34837500000174,329.51237499999877
L2005,C08076,ok,,0.768375,0.2084886412217637,cohort_median,618.866016,,0.768375,95.53037500000245,105.53337499999942,193.30237499999964,203.3163750000025,329.4453750000033
L2013,C08086,ok,,0.768375,0.08367598240539734,cohort_median,709.632618,,0.768375,95.35537499999954,105.36437499999955,193.17637499999944,203.17937500000005,329.36137499999984
L2015,C08089,ok,,0.768375,0.4561647979753016,cohort_median,679.766667,,0.768375,95.20237500000111,105.20837500000233,192.9653750000001,202.97737500000255,329.09137500000395
L2018,C08093,ok,,0.768375,0.3143591828503081,cohort_median,774.532552,,0.768375,95.6983750000003,105.70437500000152,193.51237500000605,203.5203750000004,329.6843750000047
L202,A02315,ok,,0.768375,0.055703831237346464,cohort_median,646.766016,,0.768375,95.66637499999742,105.68037499999663,193.4713749999977,203.47737499999891,329.64437499999656
L2023,C08098,ok,,0.768375,0.07461077228648534,cohort_median,768.899219,,0.768375,95.55237499999966,105.56637500000251,193.34737500000517,203.35037500000215,329.502375000004
L2027,C08102,ok,,0.768375,0.4931627705053924,cohort_median,696.165951,,0.768375,95.5623750000017,105.56937499999948,193.3403750000001,203.34837500000174,329.52137499999697
L204,A02317,ok,,0.768375,0.12235456841229402,cohort_median,691.032618,,0.768375,95.62437499999977,105.63237499999777,193.42037499999822,203.42237499999862,329.57537499999705
L2045,C08122,ok,,0.768375,0.42449407961705565,cohort_median,816.532487,,0.768375,95.69537499999605,105.6983750000003,193.4813749999961,203.4923749999947,329.62737499999673
L2055,C08132,ok,,0.768375,0.4036002070609159,cohort_median,672.499349,,0.768375,95.55737500000431,105.5733750000003,193.33937500000354,203.34637500000133,329.50837499999795
L2057,C08134,ok,,0.768375,0.08073418794109677,cohort_median,736.199284,,0.768375,95.38537499999838,105.39837500000102,193.19637499999988,203.20737499999848,329.3543749999993
L2059,C12001,ok,,0.768375,0.0,cohort_median,644.666667,,0.768375,95.83537500000274,105.85337499999913,193.61637499999813,203.63337499999795,329.7793749999986
L2077,C12020,ok,,1.48375,0.7784826882191094,landmark,729.665951,,1.48375,96.94074999999488,106.95174999999348,194.7187499999933,204.7207499999937,330.8497499999945
