L_id,task,status,reason,duration_sec,n_events,n_constructed,n_kept,construction_drops,n_trials_code_11,n_trials_code_22
L4534,oddball,ok,,678.0,147,147,146,0,122,24
L4537,oddball,ok,,636.0,147,147,118,0,98,20
L4553,oddball,ok,,643.0,148,148,145,0,120,25
L456,oddball,ok,,636.0,150,150,139,0,115,24
L4579,oddball,ok,,648.0,142,142,128,0,106,22
L4587,oddball,ok,,641.0,148,148,140,0,116,24
L4606,oddball,ok,,648.0,146,146,106,0,89,17
L481,oddball,ok,,647.0,149,149,104,0,85,19
L499,oddball,ok,,637.0,148,148,88,0,70,18
L509,oddball,ok,,634.0,148,148,99,0,80,19
L539,oddball,ok,,638.0,147,147,144,0,119,25
L55,oddball,ok,,646.0,147,147,147,0,122,25
L557,oddball,ok,,643.0,149,149,145,0,121,24
L562,oddball,ok,,642.0,146,146,62,0,45,17
L565,oddball,ok,,636.0,150,150,95,0,78,17
L581,oddball,ok,,640.0,149,149,135,0,110,25
L586,oddball,ok,,636.0,149,149,139,0,116,23
L587,oddball,ok,,720.0,120,120,101,0,84,17
L592,oddball,ok,,635.0,150,150,141,0,117,24
L595,oddball,ok,,642.0,146,146,142,0,118,24
L603,oddball,ok,,639.0,148,148,140,0,120,20
L607,oddball,ok,,653.0,146,146,126,0,104,22
L61,oddball,ok,,643.0,147,147,141,0,118,23
L628,oddball,ok,,787.0,146,146,129,0,106,23
L634,oddball,ok,,638.0,147,147,147,0,122,25
L635,oddball,ok,,636.0,150,150,122,0,105,17
L636,oddball,ok,,636.0,147,147,130,0,108,22
L640,oddball,ok,,639.0,146,146,134,0,111,23
L660,oddball,ok,,681.0,145,145,127,0,110,17
L676,oddball,ok,,648.0,149,149,138,0,116,22
L677,oddball,ok,,664.0,149,149,122,0,106,16
L68,oddball,ok,,645.0,148,148,142,0,119,23
L680,oddball,ok,,641.0,148,148,96,0,80,16
L69,oddball,ok,,641.0,150,150,150,0,125,25
L700,oddball,ok,,639.0,147,147,147,0,122,25
L709,oddball,ok,,653.0,147,147,132,0,112,20
L712,oddball,ok,,652.0,145,145,124,0,103,21
L724,oddball,ok,,640.0,146,146,139,0,119,20
L725,oddball,ok,,637.0,150,150,150,0,125,25
L731,oddball,ok,,634.0,148,148,142,0,118,24
L733,oddball,ok,,640.0,149,149,149,0,124,25
L739,oddball,ok,,639.0,148,148,143,0,121,22
L740,oddball,ok,,632.0,150,150,149,0,125,24
L741,oddball,ok,,639.0,149,149,147,0,124,23
L743,oddball,ok,,634.0,150,150,144,0,119,25
L749,oddball,ok,,651.0,141,141,125,0,105,20
L756,oddball,ok,,637.0,149,149,149,0,124,25
