cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,sensitivity,0.5383377786096424,0.6156354561368522,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,specificity,0.5519780571549742,0.6065268046109272,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,accuracy,0.5560439560439561,0.6005494505494505,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,positive_prediction_rate,0.4510989010989011,0.4956043956043956,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,auroc,0.5278525733643517,0.5859982342307133,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,auprc,0.3502476417236231,0.4208598846470432,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,brier_score,0.23396257774639836,0.2457226688889848,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,ece,0.1084175807208604,0.1496031481408872,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,balanced_accuracy,0.5331887194896038,0.5831085230512787,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,macro_f1,0.5330841143970425,0.5822230117079366,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,sensitivity,0.38368434579779165,0.4629150400657489,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,specificity,0.667497080839884,0.721732500290041,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,accuracy,0.5785576923076924,0.6274725274725275,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,fixed_0_5,positive_prediction_rate,0.32362637362637364,0.36704670329670325,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,auroc,0.5278525733643517,0.5859982342307133,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,auprc,0.3502476417236231,0.4208598846470432,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,brier_score,0.23396257774639836,0.2457226688889848,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,ece,0.1084175807208604,0.1496031481408872,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,balanced_accuracy,0.5544013586358959,0.6038202102107351,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,macro_f1,0.5483169229116458,0.5954980548514557,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,sensitivity,0.471952169288048,0.5502554498239173,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,specificity,0.6179878657744932,0.6725605465704978,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,accuracy,0.578021978021978,0.6236401098901099,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,2,inner_cv,positive_prediction_rate,0.3846016483516484,0.4291208791208791,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,auroc,0.5638452158623224,0.6196720401202123,1000
