cv_protocol,cohort_name,modality,device,task,model,seed,comparison,feature_set_a,feature_set_b,auroc_diff,p_two_sided
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,mean,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.004264249717907342,0.438
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,mean,eeg_deep_vs_demographics,eeg_deep,demographics,-0.061679890888117594,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,mean,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.03763559871965036,0.028
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,mean,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0009307744002588492,0.76
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,mean,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.005539363601109015,0.316
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.0044165412951245875,0.142
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.06045912185513247,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.030169902721547986,0.11
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0006377168872117034,0.888
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.0051025538538234105,0.2
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.021247256857570784,0.012
