cv_protocol,cohort_name,modality,device,task,feature_set,model,n_seeds,auroc_seed_mean,auroc_seed_std,auroc_seed_min,auroc_seed_max
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__condition_aware__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__condition_aware__mean_std__robust_z,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__difference_wave__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__standard_only__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__target_only__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__condition_aware__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__difference_wave__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__standard_only__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__target_only__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__condition_aware__mean_std__none,3,0.4870193740685544,0.008663910748160822,0.4799214198618073,0.4966738924265005
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__difference_wave__mean_std__none,3,0.4866052477080793,0.005775124220287856,0.4804701259991871,0.4919360520254708
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__standard_only__mean_std__none,3,0.49076999503229013,0.04440753941634419,0.4521826310797995,0.5393090367158921
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__target_only__mean_std__none,3,0.5251844826807569,0.025859878728208583,0.5092318114076684,0.555020999864517
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__condition_aware__attention__none,3,0.5329598518719235,0.002689774729377047,0.5298943232624306,0.5349248069367295
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__condition_aware__mean_std__none,3,0.5443268753104819,0.018777567820994445,0.5233911394120038,0.5596802601273541
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__condition_aware__mean_std__robust_z,3,0.5230104321907602,0.03410932282609544,0.4869258908007045,0.5547229372713725
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__difference_wave__mean_std__none,3,0.511844826807569,0.008450561664025684,0.5033423655331256,0.5202425145644223
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__standard_only__mean_std__none,3,0.5076457571241476,0.04811974596034587,0.47580138192656823,0.5630009483809781
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__target_only__mean_std__none,3,0.5288998780653028,0.011470077173130566,0.5174556293185205,0.540395610350901
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__condition_aware__mean_std__none,3,0.4966355055773833,0.03936463448307792,0.4685747188727814,0.5416339249424197
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__difference_wave__mean_std__none,3,0.4883340107483178,0.011278990743850588,0.4753319333423655,0.4954870613737976
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__standard_only__mean_std__none,3,0.515842478435623,0.05270707173854978,0.4775233708169625,0.5759504132231406
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__target_only__mean_std__none,3,0.5389843291333604,0.03666010703038362,0.5015038612654111,0.5747649370004064
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__condition_aware__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__difference_wave__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__standard_only__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__target_only__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__condition_aware__attention__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__condition_aware__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__condition_aware__mean_std__robust_z,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__difference_wave__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__standard_only__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__target_only__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__condition_aware__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__difference_wave__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__standard_only__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
group_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__target_only__mean_std__none,3,0.4978525944993903,0.013189407734000375,0.4898428397236147,0.5130754640292643
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
