L_id,task,status,error,windows,rejected_windows
L2772,rest,ok,,63,0
L2773,rest,ok,,48,19
L2775,rest,ok,,54,8
L2776,rest,ok,,37,25
L2777,rest,ok,,58,4
L2778,rest,ok,,54,9
L2779,rest,ok,,68,2
L2780,rest,ok,,56,6
L2782,rest,ok,,59,8
L2783,rest,ok,,60,2
L2784,rest,ok,,59,3
L2785,rest,ok,,61,0
L2786,rest,ok,,60,1
L2787,rest,ok,,60,3
L2788,rest,ok,,38,23
L2789,rest,ok,,59,1
L279,rest,ok,,55,10
L2790,rest,ok,,53,17
L2792,rest,ok,,61,0
L2793,rest,ok,,60,2
L2795,rest,ok,,60,2
L2796,rest,ok,,58,3
L2797,rest,ok,,62,8
L2798,rest,ok,,62,0
L2799,rest,ok,,56,6
L280,rest,ok,,37,30
L2802,rest,ok,,48,14
L2804,rest,ok,,56,7
L2805,rest,ok,,48,13
L2806,rest,ok,,52,12
L2807,rest,ok,,42,21
L2809,rest,ok,,59,3
L281,rest,ok,,53,10
L2811,rest,ok,,58,3
L2817,rest,ok,,59,6
L2818,rest,ok,,63,0
L2819,rest,ok,,61,1
L282,rest,ok,,24,40
L283,rest,ok,,57,4
L2830,rest,ok,,59,4
L2832,rest,ok,,57,5
L2835,rest,ok,,56,5
L2837,rest,ok,,50,10
L2838,rest,ok,,60,1
L2839,rest,ok,,55,7
L2840,rest,ok,,59,2
L2841,rest,ok,,51,38
L2842,rest,ok,,23,44
L2843,rest,ok,,58,6
L2844,rest,ok,,49,13
L2845,rest,ok,,60,2
L2846,rest,ok,,73,1
L2847,rest,ok,,59,1
L2848,rest,ok,,62,1
L2849,rest,ok,,53,7
L2850,rest,ok,,60,3
L2851,rest,ok,,63,0
L2852,rest,ok,,59,4
L2853,rest,ok,,61,0
L2854,rest,ok,,61,2
L286,rest,ok,,64,0
L2862,rest,ok,,63,0
L2866,rest,ok,,57,3
L2867,rest,ok,,62,11
L2868,rest,ok,,57,8
L287,rest,ok,,56,6
L2870,rest,ok,,59,5
L2872,rest,ok,,68,6
L2873,rest,ok,,58,4
L2874,rest,ok,,39,25
L2875,rest,ok,,60,1
L2877,rest,ok,,58,4
L2883,rest,ok,,61,2
L2884,rest,ok,,64,2
L2886,rest,ok,,51,9
L289,rest,ok,,65,1
L2890,rest,ok,,60,2
L2891,rest,ok,,57,4
L2893,rest,ok,,59,1
L2894,rest,ok,,59,2
L2895,rest,ok,,59,4
L2897,rest,ok,,60,4
L2899,rest,ok,,57,4
L29,rest,ok,,61,1
L2900,rest,ok,,57,4
L2903,rest,ok,,5,67
L2906,rest,ok,,26,34
L2908,rest,ok,,34,27
L2909,rest,ok,,56,4
L2911,rest,ok,,21,54
L2918,rest,ok,,36,26
L292,rest,ok,,60,6
L2921,rest,ok,,41,23
L2922,rest,ok,,57,4
L2923,rest,ok,,29,32
L293,rest,ok,,43,20
L2936,rest,ok,,49,11
L294,rest,ok,,66,0
L2945,rest,ok,,8,52
L2946,rest,ok,,62,1
L295,rest,ok,,64,2
L2957,rest,ok,,56,6
L2958,rest,ok,,18,44
L296,rest,ok,,60,3
L2960,rest,ok,,59,1
L2961,rest,ok,,64,0
L297,rest,ok,,65,1
L2975,rest,ok,,10,68
L298,rest,ok,,45,19
L2983,rest,ok,,59,3
L299,rest,ok,,70,1
L2991,rest,ok,,117,12
L300,rest,ok,,54,9
L3006,rest,ok,,47,17
L3007,rest,ok,,23,43
L3010,rest,ok,,55,7
L3011,rest,ok,,51,11
L3019,rest,ok,,55,5
L302,rest,ok,,42,22
L3023,rest,ok,,59,2
L3024,rest,ok,,55,8
L3026,rest,ok,,64,16
L3027,rest,ok,,49,13
L3028,rest,ok,,67,1
L3029,rest,ok,,35,27
L304,rest,ok,,39,26
L305,rest,ok,,63,0
L307,rest,ok,,63,1
L309,rest,ok,,70,6
L3098,rest,ok,,56,13
L31,rest,ok,,18,42
L3102,rest,ok,,57,5
L311,rest,ok,,57,7
L312,rest,ok,,46,20
L313,rest,ok,,61,5
L3131,rest,ok,,41,32
L3135,rest,ok,,60,0
L3136,rest,ok,,58,4
L3137,rest,fail,no_valid_windows,0,61
L315,rest,ok,,61,5
L316,rest,ok,,60,8
L317,rest,ok,,58,6
L3179,rest,ok,,64,0
L318,rest,ok,,56,11
L3180,rest,ok,,56,17
L3182,rest,ok,,55,9
L3184,rest,ok,,36,25
L3185,rest,ok,,41,20
L3186,rest,ok,,34,26
L319,rest,ok,,40,23
L320,rest,ok,,62,3
L322,rest,ok,,56,7
L323,rest,ok,,56,8
L3236,rest,ok,,50,12
L3237,rest,ok,,23,40
L324,rest,ok,,46,15
L325,rest,ok,,17,46
L326,rest,ok,,27,37
L327,rest,ok,,53,13
L330,rest,ok,,53,12
L331,rest,ok,,61,11
L332,rest,ok,,47,16
L333,rest,ok,,33,30
L335,rest,ok,,61,2
L336,rest,ok,,61,2
L337,rest,ok,,54,12
L338,rest,ok,,36,28
L339,rest,ok,,41,23
L340,rest,ok,,58,7
L3403,rest,ok,,42,20
L3406,rest,ok,,52,12
L3407,rest,ok,,61,3
L3409,rest,ok,,38,25
L3411,rest,ok,,41,29
L3414,rest,ok,,57,19
L3415,rest,ok,,62,2
L3422,rest,ok,,38,26
L3424,rest,ok,,53,10
L3425,rest,ok,,51,17
L3426,rest,ok,,59,5
L3427,rest,ok,,64,5
L3428,rest,ok,,40,24
L3429,rest,ok,,46,14
L3430,rest,ok,,37,35
L3431,rest,ok,,52,10
L3432,rest,ok,,51,22
L3433,rest,ok,,59,3
L3434,rest,ok,,57,11
L3435,rest,ok,,61,21
L3436,rest,ok,,54,9
L3437,rest,ok,,61,7
L3438,rest,ok,,52,8
L3439,rest,ok,,35,34
L344,rest,ok,,44,24
L3441,rest,ok,,46,19
L3443,rest,ok,,41,19
L3444,rest,ok,,51,9
L3445,rest,ok,,60,9
L3446,rest,ok,,49,14
L3447,rest,ok,,55,5
L3448,rest,ok,,50,11
L345,rest,ok,,61,1
L3450,rest,ok,,62,8
L3452,rest,ok,,27,37
L346,rest,ok,,39,24
L3463,rest,ok,,53,11
L3464,rest,ok,,49,16
L3465,rest,ok,,49,11
L3467,rest,ok,,41,20
L347,rest,ok,,63,0
L3478,rest,ok,,61,4
L3479,rest,ok,,56,12
L348,rest,ok,,55,7
L3481,rest,ok,,24,42
L3486,rest,ok,,70,1
L3487,rest,ok,,65,1
L3488,rest,ok,,62,1
L349,rest,ok,,60,3
L3492,rest,ok,,57,10
L3493,rest,ok,,31,31
L3496,rest,ok,,73,5
L3497,rest,ok,,53,9
L3498,rest,ok,,61,1
L3499,rest,ok,,54,10
L350,rest,ok,,50,12
L3500,rest,ok,,56,7
L3501,rest,ok,,62,0
L3502,rest,ok,,60,32
L3503,rest,ok,,63,5
L3505,rest,ok,,51,15
L3506,rest,ok,,60,4
L3507,rest,ok,,54,27
L3509,rest,ok,,58,6
L3510,rest,ok,,63,1
L3512,rest,ok,,59,3
L3514,rest,ok,,69,2
L3516,rest,ok,,48,22
