L_id,task,status,error,windows,rejected_windows
L3093,1back,ok,,18,7
L3094,1back,ok,,21,5
L3095,1back,ok,,2,22
L3096,1back,ok,,24,0
L3097,1back,ok,,23,2
L3098,1back,ok,,6,18
L31,1back,fail,no_valid_windows,0,20
L3100,1back,ok,,21,5
L3101,1back,ok,,17,9
L3102,1back,ok,,22,4
L3103,1back,ok,,8,18
L3104,1back,ok,,9,17
L3105,1back,ok,,1,24
L3106,1back,ok,,24,1
L3107,1back,ok,,23,2
L3108,1back,ok,,24,0
L3109,1back,ok,,14,11
L311,1back,ok,,9,13
L3110,1back,ok,,19,6
L3111,1back,ok,,23,3
L3113,1back,ok,,6,18
L3114,1back,ok,,20,5
L3115,1back,ok,,15,9
L3116,1back,ok,,23,2
L3117,1back,ok,,24,1
L3119,1back,ok,,16,9
L312,1back,ok,,25,0
L3121,1back,ok,,7,18
L3124,1back,ok,,19,7
L3125,1back,ok,,19,2
L3126,1back,ok,,16,9
L3127,1back,ok,,11,13
L3128,1back,ok,,23,2
L3129,1back,ok,,21,5
L313,1back,ok,,20,4
L3130,1back,ok,,22,2
L3131,1back,ok,,6,18
L3132,1back,ok,,10,15
L3133,1back,ok,,10,16
L3134,1back,ok,,26,0
L3135,1back,ok,,14,10
L3136,1back,ok,,25,0
L3137,1back,ok,,1,24
L3141,1back,ok,,4,20
L3145,1back,ok,,23,2
L3147,1back,ok,,24,1
L3148,1back,ok,,23,1
L315,1back,ok,,5,14
L3151,1back,ok,,19,6
L3152,1back,ok,,25,0
L3157,1back,ok,,11,15
L3158,1back,ok,,7,19
L316,1back,fail,no_valid_windows,0,26
L3160,1back,ok,,24,2
L3161,1back,ok,,15,10
L3163,1back,ok,,19,7
L3164,1back,ok,,21,2
L3165,1back,ok,,10,14
L3168,1back,ok,,24,2
L3169,1back,ok,,19,6
L317,1back,ok,,9,16
L3170,1back,ok,,16,9
L3172,1back,ok,,24,1
L3173,1back,ok,,25,1
L3176,1back,ok,,16,8
L3177,1back,ok,,13,13
L3179,1back,ok,,14,4
L318,1back,ok,,7,12
L3180,1back,ok,,11,14
L3182,1back,ok,,22,3
L3184,1back,ok,,13,12
L3185,1back,ok,,22,4
L3186,1back,ok,,9,14
L3187,1back,ok,,3,22
L3189,1back,ok,,15,3
L319,1back,ok,,22,3
L3194,1back,ok,,6,19
L3196,1back,ok,,2,24
L3197,1back,ok,,23,2
L3198,1back,ok,,8,18
L3199,1back,ok,,25,0
L32,1back,ok,,5,20
L320,1back,ok,,15,10
L3200,1back,ok,,6,17
L3201,1back,ok,,8,17
L3202,1back,ok,,24,1
L3203,1back,ok,,8,16
L3205,1back,ok,,11,15
L3206,1back,ok,,19,6
L3207,1back,ok,,17,9
L3208,1back,ok,,22,4
L3209,1back,ok,,21,5
L3210,1back,ok,,18,7
L3211,1back,ok,,18,7
L322,1back,ok,,11,15
L323,1back,ok,,22,0
L3236,1back,ok,,13,12
L3237,1back,ok,,21,4
L3238,1back,ok,,21,5
L324,1back,ok,,15,8
L325,1back,ok,,15,10
L326,1back,ok,,11,9
L327,1back,ok,,7,15
L33,1back,ok,,18,7
L330,1back,ok,,23,0
L331,1back,ok,,19,5
L332,1back,fail,no_valid_windows,0,26
L333,1back,ok,,11,14
L335,1back,ok,,13,12
L336,1back,ok,,11,14
L337,1back,ok,,24,0
L338,1back,ok,,24,1
L339,1back,ok,,15,11
