cv_protocol,cohort_name,modality,device,task,model,comparison,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,significant_positive,significant_negative
standard_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_demographics_vs_demographics,-0.0429447229372713,-0.0722899830327047,-0.0114058312673625,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_qc_demographics_vs_qc_demographics,-0.02020999864517,-0.0523753546894547,0.011294329694894,0,0
standard_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_qc_demographics_vs_demographics,-0.0319231811407667,-0.0634620337619702,-0.0043231778660966,0,1
standard_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_vs_demographics,-0.0728310159861663,-0.1284431877439474,-0.015517271691269,0,1
standard_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0267759466421991,-0.0680200608099945,0.0183846375968184,0,0
standard_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0052868158238346,-0.0486481145636435,0.0359055800020478,0,0
standard_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0238844090764723,-0.0671441045954484,0.0201546403449057,0,0
standard_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_vs_demographics,-0.1129662631894696,-0.1683509316555263,-0.0581015785169434,0,1
standard_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_demographics_vs_demographics,-0.0169522179482655,-0.0465643387085999,0.0121171161886528,0,0
standard_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.008465080989519,-0.0395211850306164,0.0234348008826211,0,0
standard_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_qc_demographics_vs_demographics,-0.0209840491230547,-0.0521809464516608,0.0113990894531563,0,0
standard_cv,eeg_rest_native,eeg,,rest,random_forest,signal_vs_demographics,-0.0773613120654973,-0.1313836276640638,-0.0177846787873965,0,1
standard_cv,eeg_rest_native,eeg,,rest,random_forest,signal_demographics_vs_demographics,-0.0226404524120408,-0.0616271769312161,0.0230794136075106,0,0
standard_cv,eeg_rest_native,eeg,,rest,random_forest,signal_qc_demographics_vs_qc_demographics,-0.028985954758796,-0.0706437837285531,0.0121389975295354,0,0
standard_cv,eeg_rest_native,eeg,,rest,random_forest,signal_qc_demographics_vs_demographics,-0.031414316970745,-0.0747532805327999,0.0098669204898463,0,0
standard_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_vs_demographics,-0.0513945335270983,-0.0736106378918143,-0.0322405323614516,0,1
standard_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_demographics_vs_demographics,-0.002325180423163,-0.0168973445684596,0.0111129933151415,0,0
standard_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_vs_background,0.0046821760798706,-0.0202670159735262,0.0284557681359336,0,0
standard_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_demographics_vs_background_demographics,-0.005329564767605,-0.0187508168668132,0.0081826449311206,0,0
standard_cv,face_segment_raw,face,,task,logistic_regression,face_vs_demographics,-0.0456177081537311,-0.0661670517428811,-0.026583994814904,0,1
standard_cv,face_segment_raw,face,,task,logistic_regression,face_demographics_vs_demographics,-0.0048502836687273,-0.0152098635791311,0.0060645118726317,0,0
standard_cv,face_segment_raw,face,,task,logistic_regression,face_vs_background,0.0223051470890088,0.0004675214669867,0.0433884172462021,1,0
standard_cv,face_segment_raw,face,,task,logistic_regression,face_demographics_vs_background_demographics,-0.0152347758976,-0.026638798971786,-0.0048965765265231,0,1
standard_cv,face_segment_raw,face,,task,random_forest,face_vs_demographics,-0.0563999934316938,-0.0777721419812231,-0.035365206834215,0,1
standard_cv,face_segment_raw,face,,task,random_forest,face_demographics_vs_demographics,-0.0042710411586492,-0.0166481592070555,0.0083413909247859,0,0
standard_cv,face_segment_raw,face,,task,random_forest,face_vs_background,0.0142692348744221,-0.0064689393928069,0.0361240567030856,0,0
standard_cv,face_segment_raw,face,,task,random_forest,face_demographics_vs_background_demographics,-0.0072592099969621,-0.0194290823211241,0.0055582041607098,0,0
standard_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_vs_demographics,-0.1243012964194519,-0.150615732864102,-0.0974539745041905,0,1
standard_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_demographics_vs_demographics,-0.0152454493953052,-0.0286635420426003,-0.0027081295302598,0,1
