cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,1412,0.02297349858610065,-0.0007338396660543311,0.047191013209694044,0.027514446084130784,0.006451519880539993,0.05177662171715871,4,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal,demographics,signal_vs_demographics,342,0.07107638888888884,-0.013720072633703844,0.1526881547627162,0.07169864565458506,0.010795432136573862,0.14029280679436118,5,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,342,0.040347222222222257,-0.04708090424227382,0.12032552416346969,0.056743776787795575,-0.0037537216082976885,0.11912259005478588,5,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal_qc,qc,signal_qc_vs_qc,342,0.011631944444444375,-0.05383389144823532,0.07770473903869429,0.021958809990304584,-0.023881168575884886,0.0905466682850502,4,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,342,0.040347222222222257,-0.038232545031694126,0.12048629489018597,0.056743776787795575,9.112279851936365e-05,0.12150380929919992,5,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,342,0.040347222222222257,-0.04214488098329468,0.11893569970983667,0.056743776787795575,0.000721341779022443,0.11876652395060235,5,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal_demographics,signal,signal_demographics_vs_signal,342,-0.030729166666666585,-0.053633823198399454,-0.006194440551852461,-0.014954868866789484,-0.03971779345748686,0.010048434247794244,1,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,342,-0.030729166666666585,-0.0566925458401084,-0.006416722866302744,-0.014954868866789484,-0.040931722151097825,0.00836321748800171,1,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,20260908,signal,demographics,signal_vs_demographics,342,0.06706597222222216,-0.01785312805474093,0.1541893833955278,0.0870271167171553,0.02251215546947678,0.16090840779025586,4,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,342,0.0370833333333333,-0.031107143543328435,0.11388942202755527,0.06607436104718606,0.011629641057672259,0.13310417203253996,3,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,20260908,signal_qc,qc,signal_qc_vs_qc,342,-0.04644097222222232,-0.11903693992346345,0.021102008588484187,-0.026582695250898958,-0.08407122866403036,0.03674809313042166,3,5,1000,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,342,0.07309027777777782,0.0073033858305813085,0.14022043178072624,0.04917117354852435,-0.0024950371628195455,0.10781784566548132,4,5,1000,1
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,342,0.050937500000000024,-0.019416112770254765,0.12108296831236662,0.04758095825178893,-0.005152536953627287,0.1091372117346352,3,5,1000,1
