rep,model,demographics,signal,diff
57,random_forest,0.5488368055555555,0.5337847222222222,-0.0150520833333333
57,hist_gradient_boosting,0.49749999999999994,0.509375,0.01187500000000008
58,random_forest,0.5110590277777778,0.48298611111111106,-0.028072916666666725
58,hist_gradient_boosting,0.5036805555555556,0.48015624999999995,-0.023524305555555625
59,random_forest,0.47920138888888886,0.49595486111111114,0.016753472222222288
59,hist_gradient_boosting,0.4796875,0.49345486111111114,0.013767361111111154
60,random_forest,0.46663194444444445,0.5195659722222222,0.05293402777777778
60,hist_gradient_boosting,0.45807291666666666,0.5517708333333333,0.09369791666666666
61,random_forest,0.5196875000000001,0.4947916666666667,-0.024895833333333395
61,hist_gradient_boosting,0.5177777777777778,0.5316319444444444,0.013854166666666612
62,random_forest,0.4020486111111112,0.4768576388888889,0.0748090277777777
62,hist_gradient_boosting,0.41439236111111105,0.46838541666666667,0.053993055555555614
63,random_forest,0.4115972222222222,0.5462847222222222,0.13468750000000002
63,hist_gradient_boosting,0.3871354166666666,0.5511111111111111,0.1639756944444445
64,random_forest,0.4905555555555555,0.537048611111111,0.046493055555555496
64,hist_gradient_boosting,0.48527777777777775,0.5017534722222222,0.016475694444444466
65,random_forest,0.4974479166666667,0.42362847222222216,-0.07381944444444455
65,hist_gradient_boosting,0.48284722222222226,0.4393923611111111,-0.04345486111111119
66,random_forest,0.3901736111111111,0.5124826388888888,0.12230902777777769
66,hist_gradient_boosting,0.42090277777777774,0.46225694444444443,0.04135416666666669
67,random_forest,0.48194444444444445,0.4741840277777778,-0.0077604166666666585
67,hist_gradient_boosting,0.4351736111111111,0.4763368055555555,0.04116319444444444
68,random_forest,0.4623611111111111,0.53390625,0.07154513888888892
68,hist_gradient_boosting,0.4344097222222222,0.5257118055555554,0.09130208333333323
69,random_forest,0.5256944444444446,0.4600000000000001,-0.0656944444444445
69,hist_gradient_boosting,0.5308854166666667,0.520607638888889,-0.010277777777777719
70,random_forest,0.503263888888889,0.45991319444444445,-0.043350694444444504
70,hist_gradient_boosting,0.5080902777777778,0.42289930555555555,-0.08519097222222227
71,random_forest,0.5244791666666666,0.46248263888888885,-0.061996527777777755
71,hist_gradient_boosting,0.5409375000000001,0.4804340277777778,-0.0605034722222223
72,random_forest,0.5107465277777778,0.4515625,-0.05918402777777787
72,hist_gradient_boosting,0.5113541666666668,0.4853125,-0.026041666666666796
73,random_forest,0.46718750000000003,0.5427430555555555,0.07555555555555543
73,hist_gradient_boosting,0.4535763888888889,0.5042708333333332,0.05069444444444432
74,random_forest,0.5013194444444444,0.49975694444444446,-0.0015624999999999667
74,hist_gradient_boosting,0.4891145833333333,0.5125173611111111,0.023402777777777828
75,random_forest,0.44621527777777775,0.5133159722222222,0.0671006944444445
75,hist_gradient_boosting,0.4113194444444445,0.5178993055555556,0.10657986111111112
76,random_forest,0.49197916666666663,0.4694618055555555,-0.022517361111111134
76,hist_gradient_boosting,0.5064409722222223,0.4987673611111112,-0.007673611111111089
77,random_forest,0.49296874999999996,0.5192708333333333,0.026302083333333393
77,hist_gradient_boosting,0.47717013888888893,0.510173611111111,0.03300347222222211
78,random_forest,0.47472222222222227,0.42314236111111114,-0.051579861111111125
78,hist_gradient_boosting,0.46802083333333333,0.40843749999999995,-0.05958333333333338
79,random_forest,0.5107291666666668,0.5097743055555555,-0.0009548611111113159
79,hist_gradient_boosting,0.5107291666666667,0.47623263888888884,-0.03449652777777784
