cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,outer_fold,n_subjects,selected_threshold_per_fold,predicted_positive_rate,threshold_source
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,logistic_regression,20260908,0,399,0.55,0.22556390977443608,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,logistic_regression,20260908,1,237,0.45,0.6962025316455697,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,logistic_regression,20260908,2,115,0.5,0.8434782608695652,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,logistic_regression,20260908,3,60,0.5,0.8166666666666667,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,logistic_regression,20260908,4,144,0.45,0.5694444444444444,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,random_forest,20260908,0,399,0.55,0.22556390977443608,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,random_forest,20260908,1,237,0.45,0.6962025316455697,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,random_forest,20260908,2,115,0.55,0.6,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,random_forest,20260908,3,60,0.45,0.8166666666666667,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,random_forest,20260908,4,144,0.45,0.5694444444444444,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,hist_gradient_boosting,20260908,0,399,0.5,0.9974937343358395,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,hist_gradient_boosting,20260908,1,237,0.45,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,hist_gradient_boosting,20260908,2,115,0.45,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,hist_gradient_boosting,20260908,3,60,0.4,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,hist_gradient_boosting,20260908,4,144,0.45,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,logistic_regression,20260908,0,399,0.55,0.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,group_proxy_only,logistic_regression,20260908,1,237,0.45,1.0,inner_cv_outer_train_only
