L_id,task,feature_status,feature_error,sfreq,n_epochs_total,n_epochs_good,bad_epoch_rate,n_channels_used,duration_sec_loaded
L4477,rest,ok,,250.0,61,28,0.540983606557377,32,307.996
L448,rest,ok,,250.0,68,57,0.16176470588235292,32,341.996
L4480,rest,ok,,250.0,62,46,0.25806451612903225,32,312.996
L4481,rest,ok,,250.0,64,60,0.0625,32,320.996
L4482,rest,ok,,250.0,68,44,0.3529411764705882,32,340.996
L4483,rest,ok,,250.0,60,60,0.0,32,301.996
L4484,rest,ok,,250.0,66,55,0.16666666666666663,32,330.996
L4485,rest,ok,,250.0,69,66,0.04347826086956519,32,346.996
L4486,rest,ok,,250.0,61,55,0.09836065573770492,32,305.996
L4487,rest,ok,,250.0,83,73,0.12048192771084343,32,418.996
L4488,rest,ok,,250.0,62,52,0.16129032258064513,32,311.996
L4489,rest,ok,,250.0,62,48,0.22580645161290325,32,313.996
L449,rest,ok,,250.0,64,50,0.21875,32,319.996
L4490,rest,ok,,250.0,60,57,0.050000000000000044,32,301.996
L4491,rest,ok,,250.0,62,27,0.564516129032258,32,310.996
L4493,rest,fail,too_few_good_epochs:0,250.0,69,0,1.0,32,347.996
L4494,rest,ok,,250.0,64,56,0.125,32,321.996
L4495,rest,ok,,250.0,62,38,0.3870967741935484,32,312.996
L4496,rest,ok,,250.0,67,64,0.04477611940298509,32,336.996
L4497,rest,ok,,250.0,65,57,0.12307692307692308,32,326.996
L4498,rest,ok,,250.0,62,57,0.08064516129032262,32,310.996
L4499,rest,ok,,250.0,68,61,0.1029411764705882,32,341.996
L45,rest,ok,,250.0,62,61,0.016129032258064502,32,310.996
L4500,rest,ok,,250.0,69,64,0.07246376811594202,32,344.996
L4501,rest,ok,,250.0,69,60,0.13043478260869568,32,347.996
L4504,rest,ok,,250.0,64,64,0.0,32,322.996
L4505,rest,ok,,250.0,98,74,0.24489795918367352,32,493.996
L4506,rest,ok,,250.0,60,54,0.09999999999999998,32,303.996
L4507,rest,ok,,250.0,61,38,0.3770491803278688,32,308.996
L4508,rest,ok,,250.0,66,64,0.030303030303030276,32,332.996
L451,rest,ok,,250.0,63,49,0.2222222222222222,32,316.996
L4513,rest,ok,,250.0,89,65,0.2696629213483146,32,447.996
L4514,rest,ok,,250.0,69,50,0.2753623188405797,32,347.996
L452,rest,ok,,250.0,69,53,0.23188405797101452,32,347.996
L4522,rest,fail,too_few_good_epochs:16,250.0,60,16,0.7333333333333334,32,301.996
L4523,rest,ok,,250.0,68,39,0.42647058823529416,32,342.996
L4526,rest,ok,,250.0,66,64,0.030303030303030276,32,333.996
L4527,rest,ok,,250.0,63,55,0.12698412698412698,32,314.996
L4533,rest,ok,,250.0,70,53,0.24285714285714288,32,351.996
L4536,rest,ok,,250.0,64,50,0.21875,32,320.996
L4538,rest,ok,,250.0,62,49,0.20967741935483875,32,311.996
L4539,rest,ok,,250.0,65,63,0.03076923076923077,32,324.996
L4540,rest,ok,,250.0,62,61,0.016129032258064502,32,311.996
L4541,rest,ok,,250.0,62,58,0.06451612903225812,32,313.996
L4542,rest,ok,,250.0,63,61,0.031746031746031744,32,318.996
L4543,rest,ok,,250.0,62,40,0.3548387096774194,32,310.996
L4544,rest,ok,,250.0,63,61,0.031746031746031744,32,317.996
L4545,rest,ok,,250.0,62,53,0.14516129032258063,32,313.996
L4546,rest,ok,,250.0,65,58,0.10769230769230764,32,326.996
L4547,rest,ok,,250.0,61,61,0.0,32,307.996
L4548,rest,ok,,250.0,63,62,0.015873015873015928,32,315.996
L4549,rest,ok,,250.0,62,62,0.0,32,312.996
L455,rest,ok,,250.0,66,37,0.43939393939393945,32,333.996
L4550,rest,ok,,250.0,63,63,0.0,32,315.996
L456,rest,ok,,250.0,73,58,0.20547945205479456,32,367.996
L4562,rest,ok,,250.0,62,50,0.19354838709677424,32,313.996
L4563,rest,fail,too_few_good_epochs:11,250.0,65,11,0.8307692307692307,32,328.996
L4564,rest,ok,,250.0,74,34,0.5405405405405406,32,369.996
L4565,rest,ok,,250.0,65,54,0.16923076923076918,32,326.996
L4566,rest,ok,,250.0,92,80,0.13043478260869568,32,461.996
L4567,rest,ok,,250.0,63,53,0.15873015873015872,32,317.996
L4568,rest,ok,,250.0,60,59,0.01666666666666672,32,302.996
L4569,rest,ok,,250.0,63,63,0.0,32,315.996
L4570,rest,ok,,250.0,66,50,0.24242424242424243,32,330.996
L4571,rest,ok,,250.0,60,54,0.09999999999999998,32,301.996
L4572,rest,ok,,250.0,60,59,0.01666666666666672,32,301.996
L4574,rest,ok,,250.0,62,62,0.0,32,311.996
L4575,rest,ok,,250.0,67,61,0.08955223880597019,32,337.996
L4576,rest,ok,,250.0,63,40,0.3650793650793651,32,318.996
L4577,rest,ok,,250.0,64,62,0.03125,32,319.996
L4578,rest,ok,,250.0,64,37,0.421875,32,320.996
L4579,rest,ok,,250.0,66,45,0.31818181818181823,32,333.996
L458,rest,ok,,250.0,80,54,0.32499999999999996,32,399.996
L4580,rest,ok,,250.0,60,42,0.30000000000000004,32,301.996
L4581,rest,ok,,250.0,61,54,0.11475409836065575,32,304.996
L4582,rest,ok,,250.0,84,62,0.26190476190476186,32,422.996
L4583,rest,ok,,250.0,62,56,0.09677419354838712,32,311.996
L4584,rest,fail,too_few_good_epochs:19,250.0,63,19,0.6984126984126984,32,314.996
L4585,rest,ok,,250.0,60,58,0.033333333333333326,32,303.996
L4586,rest,ok,,250.0,62,48,0.22580645161290325,32,310.996
L4587,rest,ok,,250.0,61,58,0.049180327868852514,32,307.996
L459,rest,ok,,250.0,63,55,0.12698412698412698,32,317.996
L46,rest,ok,,250.0,62,52,0.16129032258064513,32,312.996
L460,rest,ok,,250.0,60,40,0.33333333333333337,32,303.996
L461,rest,ok,,250.0,76,69,0.09210526315789469,32,380.996
L462,rest,ok,,250.0,66,63,0.045454545454545414,32,329.996
L463,rest,ok,,250.0,68,58,0.1470588235294118,32,343.996
